tr-0,七个工作日怎么算呀在学,XX什么意思
tr-53,我女儿没有上小学，可以办理不？,办理年龄要求
tr-54,读书娃儿可以办不？,办理年龄要求
tr-55,有没有办理年龄要求？,办理年龄要求
tr-56,对办理的年利有何要求,办理年龄要求
tr-57,年龄有限制没有？,办理年龄要求
tr-58,小朋友可以办不？,办理年龄要求
tr-59,学生可以办理吗,办理年龄要求
tr-60,没满16岁能办理么？,办理年龄要求
tr-61,读大学可以办理港澳通行证不？,办理年龄要求
tr-62,办理年龄要求的要求是什么,办理年龄要求
tr-63,小孩可以办理么？,办理年龄要求
tr-64,有没有年龄要求？,办理年龄要求
tr-65,没有满十六岁,办理年龄要求
tr-66,办理年龄要求是多少岁？,办理年龄要求
tr-67,高中生可以办理吗,办理年龄要求
tr-68,请问港澳通行证第二次续签大概要几个工作日最快可以领到！,办理时长
tr-69,你好，请问一下，不是重庆户口办签证的话需要多长时间？,办理时长
tr-70,以前在湖北办理的港澳通行证并签注了一次，后户口转为成都户口，下个月想去港澳，请问本次在成都办理签注需要多长时间，谢谢。,办理时长
tr-71,请问现在办理港澳通行证什么时候可以拿到？我是云南户口,办理时长
tr-72,你好，请问今天中午送去自助签得港澳签注，6号中午可以取吗？?回执单上是说两个工作日可取。,办理时长
tr-73,办理港澳通行证需要多久呢,办理时长
tr-74,本人阿坝州人，满足在成都办理护照的条件，7月29日在出入境管理处办理的护照、港澳台通行证，最快多久能拿到证件？,办理时长
tr-75,办理时间长吗？,办理时长
tr-76,办理需要多久,办理时长
tr-77,配偶和小孩均北京户口，已在北京办港澳通行证，但已过期需要续签，请问在成都办理最快多久能拿到。,办理时长
tr-78,在成都上学，但是户口是省外的，急办港澳通行证，学校开了证明，现在预约了12.17的办理，请问可不可能在月底31号前拿到呢,办理时长
tr-79,港澳通行证遗失怎么补办，需要多久,办理时长
tr-80,我的港澳通行证到期了，户口是成都本地的，请问重新办理需要多长时间？,办理时长
tr-81,请问2015年9月27号申请的港澳在线二次签注什么时候可以领取？已经付款，但是没有收到相关短信，不知道是否在进行中,办理时长
tr-82,请问现在想办理港澳通行证，年前能拿到吗？,办理时长
tr-83,办理港澳通行证后什么时间能拿到呢？,办理时长
tr-84,你好！请问港澳签证最短时间何时能把证领到手。谢谢！,办理时长
tr-85,已经办理的时间多久,办理时长
tr-86,请问港澳通行证最快几天可以办好？,办理时长
tr-87,时间需要多久？谢谢,办理时长
tr-88,你好，我10.16号办的通行证。22号我查询，怎么还是在审核中呢！给我的回执单上面写的是25号之前就可以寄送我这！,办理时长
tr-89,代领要哪些资料？,代领签证咨询
tr-90,请问港澳通行证和台湾通行证能否代领？,代领签证咨询
tr-91,代领有要求吗？,代领签证咨询
tr-92,港澳通行证可以让让同学帮助代领吗？,代领签证咨询
tr-93,证办好以后可以找代理不,代领签证咨询
tr-94,帮别人领可以吗？,代领签证咨询
tr-95,可以代为领取吗？,代领签证咨询
tr-96,因本人在外地工作，可否委托他人代为领取护照，港澳通行证等。,代领签证咨询
tr-97,港澳通行证他人帮忙领取的话，需要哪些证件呢。上班时间实在走不开，谢谢,代领签证咨询
tr-98,代领手续怎么办理？,代领签证咨询
tr-99,帮他人领取可以吗？,代领签证咨询
tr-100,你好，我想请问可不可以非本人领取护照和港澳通行证？,代领签证咨询
tr-101,请问护照，港澳通行证及往来台湾通行证由家人代领需要哪些材料？,代领签证咨询
tr-102,我老婆在网上申请的港澳通行证二次签证，我能代替她去现场拿证吗，需要代什么证件？,代领签证咨询
tr-103,港澳通行证可以代领吗？只有身份证照片和回执单照片,代领签证咨询
tr-104,请问领护照和港澳通行证时，可否不用本人来领，代办人都需要什么证件,代领签证咨询
tr-105,证办好以后可不可以找人代理啊,代领签证咨询
tr-106,通过蓉城e申请的港澳通行证加注可以他人去蓉城e窗口代领取么？,代领签证咨询
tr-107,证办好以后可以找代理啵,代领签证咨询
tr-108,可以他人代领吗？,代领签证咨询
tr-109,找妈妈代领？,代领签证咨询
tr-110,港澳通行证能不能请人代领,代领签证咨询
tr-111,港澳通行证办理再次签注后可不可以让其他人代拿,代领签证咨询
tr-112,上个月在成都市出入境中心办理港澳通行证，现在让人带领，除了给他回执单，还需要其他证明吗？,代领签证咨询
tr-113,是否可以让他人代领办好的护照和港澳通行证。或者代领要带什么手续？,代领签证咨询
tr-114,可以去澳门几次？,逗留有效期及频次
tr-115,可以耍多长?,逗留有效期及频次
tr-116,然后重新证可以在香港呆多久,逗留有效期及频次
tr-117,支持支付宝支付不？,费用缴纳方式
tr-118,支付宝可以支付吗？,费用缴纳方式
tr-119,可以支付宝支付吗？,费用缴纳方式
tr-120,能微信/支付宝支付吗？,费用缴纳方式
tr-121,支付宝支付得行不？,费用缴纳方式
tr-122,办港澳通行证费用可以现金支付或者微信支付吗？,费用缴纳方式
tr-123,支持微信支付吗？,费用缴纳方式
tr-124,支持威信付款过,费用缴纳方式
tr-125,可以威信付款吗,费用缴纳方式
tr-126,支付威信付款啵,费用缴纳方式
tr-127,支持威信,费用缴纳方式
tr-128,现金支付得行吗？,费用缴纳方式
tr-129,就是不支持威信付款,费用缴纳方式
tr-130,支付,费用缴纳方式
tr-131,可以现金支付吗？,费用缴纳方式
tr-132,没有钱怎么办？,费用缴纳方式
tr-133,你们这可以威信付款吗,费用缴纳方式
tr-134,非得用现金支付啊？,费用缴纳方式
tr-135,现金支付应该也是可以的吧，毕竟拒收现金是违法的鸭&lt;ahref='/n/重庆公安出入境'&gt;@重庆公安出入境&lt;/a&gt;,费用缴纳方式
tr-136,感谢,感谢语过渡语
tr-137,没了，谢谢,感谢语过渡语
tr-138,嗯嗯嗯,其他意图
tr-139,已满了,其他意图
tr-140,就是关系证明,其他意图
tr-141,是搞工作日如何接转账,其他意图
tr-142,周末合计一下是没有三代嘞吧,其他意图
tr-143,市局那里停用了吗？,其他意图
tr-144,只需携带港澳通行证吗？,其他意图
tr-145,哎我去餐厅,其他意图
tr-146,你看你怎么办,其他意图
tr-147,喂只需要身份证或子,其他意图
tr-148,一满十六岁,其他意图
tr-149,最重新户籍能否首次办理港澳通行证,如何办理
tr-150,非重新户口可以再重新办理港澳签注申请吗,如何办理
tr-151,营业时间？,上班时间
tr-152,请问今天还可以办港澳签注嘛？,上班时间
tr-153,你好。想咨询一下，国庆期间可以加港澳个人旅游签注吗？需要签注飞香港，谢谢,上班时间
tr-154,已持有成都的港澳通行证，办理首次签注可以周六吗？几点至几点，需携带除通行证之外的什么资料,上班时间
tr-155,我户口是四川遂宁的?请问网上不能预约周六办理港澳通行证??可以直接去排队办理吗？?我看网上有说你们周六会安排延时服务,上班时间
tr-156,4月25日上班吗？,上班时间
tr-157,啥时候可以办理手续？,上班时间
tr-158,请问这周六可以到市出入境大厅办理港澳通行证么？,上班时间
tr-159,成都出入境办证大厅周末工作时间是否可以办理港澳通行证签证呢,上班时间
tr-160,网上申请的港澳签注能否在周六和周日取呢？,上班时间
tr-161,请问周日可以领证吗,上班时间
tr-162,区县的公安局在2月7号前都正常上班吗？,上班时间
tr-163,请问春节放假时间确定了吗，办港澳通行证需要提前预约吗,上班时间
tr-164,请问下星期天能办理港澳通行证吗？,上班时间
tr-165,请问国庆你们上班吗？,上班时间
tr-166,你好我请问国庆期间自助柜台可以使用吗,上班时间
tr-167,请问，元旦期间可不可以自助办理护照，港澳台通行证？是首次申领，谢谢！,上班时间
tr-168,周末是双休么？,上班时间
tr-169,你好，我的通行证办好了，周六可以去取证么？&lt;ahref='/n/重庆公安出入境'&gt;@重庆公安出入境&lt;/a&gt;,上班时间
tr-170,你们哪个直接上班呀,上班时间
tr-171,自助是24小时开放还是也只能接待时间？,上班时间
tr-172,秀山县公安局说是初八才能办理，怎么回事啊？,上班时间
tr-173,请问出入境大厅，春节期间:2月15日至2月21日，可以办理护照与港澳通行证及签注吗？,上班时间
tr-174,您好，我是成都户口，想办理港澳签注，请问下本周六（2月10日）市中心办理点能否办理？,上班时间
tr-175,周末营业吗？,上班时间
tr-176,确定,是
tr-177,是是是是,是
tr-178,哦，是的,是
tr-179,恩，是,是
tr-180,对对,是
tr-181,啊对啊,是
tr-182,啊是是,是
tr-183,对，对，是的,是
tr-184,哦对，啊是，咋啦,是
tr-185,应该是这样的,是
tr-186,哦对,是
tr-187,对啊干嘛,是
tr-188,是 ,是
tr-189,啊确定啊,是
tr-190,是啊，干什么,是
tr-191,哦是,是
tr-192,是这样,是
tr-193,啊是吧,是
tr-194,喔对怎么了,是
tr-195,对对对对对,是
tr-196,我已申请了港澳台通行证，预约取证时间是7.13日，但是因为行程提前，定了7.12日的飞机去深圳，请问可以申请加急吗？,是否可以加急
tr-197,港澳通行证已经在制证中，如何办理加急？本地户口,是否可以加急
tr-198,港澳通行证到期了，换证几天能取，能否加急？,是否可以加急
tr-199,请问办理护照和港澳通行证是否可以加急，加急时间最短多少，加急费用分别是多少？,是否可以加急
tr-200,请问办理港澳通行证能加急吗谢谢,是否可以加急
tr-201,加急办理港澳通行证及签注,是否可以加急
tr-202,您好！成都户口港澳通行证过期了，7月17日重新申请办理了当时忘了问取证时间，后发现取证时间来不及了，请问还能重新申请加急吗？,是否可以加急
tr-203,请问港澳通行证加签注最快要多久呢？因为比较急、能否加钱加急呢,是否可以加急
tr-204,您好，我想问一下首次办理港澳通行证明能否加急？,是否可以加急
tr-205,请问办理港澳通行证+三月一次签注，可以加急办理吗?怎么收费的?,是否可以加急
tr-206,有没有加急业务？,是否可以加急
tr-207,我是一名藏族?参加了保险公司组织的港澳游?可出行证一直没下来?旅行社那边马上要出发了?要我赔违约金? 我想问可以加急办理,是否可以加急
tr-208,请问首次办理港澳通行证门申请加急么,是否可以加急
tr-209,我是6号去办理的港澳通行证?然后现在18要去香港?请问一下可以加急吗?跪求,是否可以加急
tr-210,有没有加急这个服务？,是否可以加急
tr-211,请问我们12月14日到香港没有办过港澳通行证?第一次办理请问办理可以加急办理吗？,是否可以加急
tr-212,没有能不能加急啊,是否可以加急
tr-213,能加急处理吗？,是否可以加急
tr-214,春节前还能加急办理港澳通行证吗？,是否可以加急
tr-215,能否加急办理港澳通行证及签注,是否可以加急
tr-216,成都本地户口港澳通行证首次办理申请提交审批中，是否能申请加急,是否可以加急
tr-217,可以办加急吗？因为下周就要过关了,是否可以加急
tr-218,首次办理港澳通行证可以加急吗,是否可以加急
tr-219,能加急么？,是否可以加急
tr-220,4月6日新办港澳证巳通知受理，想办急件尽快取件，行吗一,是否可以加急
tr-221,请问下，落户人才交流中心的集体户户口办理港澳通行证需要哪些证件？,首次非首次提供办理资料
tr-222,请问港澳通行证快到期了，需要换发，要准备什么材料，温江户口，费用多少,首次非首次提供办理资料
tr-223,您好！我户籍所在地在南充，在成都办理普通护照和港澳通行证需要哪些手续呢？麻烦告知一下，谢谢。,首次非首次提供办理资料
tr-224,您好！我要去香港读书，户口在贵州，我已经在老家办理了港澳通行证，但是学校还没有把签注寄给我，我想咨询一下是否可以在成都办理逗留签呢？办理逗留签的资料都需要什么,探亲和逗留
tr-225,探亲或逗留签证怎么办理？,探亲和逗留
tr-226,我去太心怎么办理,探亲和逗留
tr-227,你好，请问在万州区办理探亲香港，每年第一次续签探亲证，办证时效是多久，谢谢,探亲和逗留
tr-228,我去探亲怎么办呢,探亲和逗留
tr-229,我去看新怎么办理,探亲和逗留
tr-230,我去看新怎么办,探亲和逗留
tr-231,我老婆是香港居民，我有港澳通行证，我可以办理多次往返香港的签注吗？,探亲和逗留
tr-232,我去探亲怎么办,探亲和逗留
tr-233,去看清怎么办理,探亲和逗留
tr-234,手机我去看清怎么办理,探亲和逗留
tr-235,昨去探亲怎么办哩,探亲和逗留
tr-236,你好！我11岁女儿已经办好了护照和港澳通行证打算这月底去香港探亲，请问在去前还需办何种手续吗？,探亲和逗留
tr-237,我去贪心怎么办理,探亲和逗留
tr-238,用那个东西我去看清怎么办呢,探亲和逗留
tr-239,请问探亲证续签可以不带户口本吗,探亲和逗留
tr-240,我去探亲,探亲和逗留
tr-241,探亲或逗留怎么办理？,探亲和逗留
tr-242,喂你好我去探亲怎么办哩,探亲和逗留
tr-243,我要去看君怎么办理啊,探亲和逗留
tr-244,我去探亲怎么办哩,探亲和逗留
tr-245,我去贪心怎么办理啊,探亲和逗留
tr-246,呃外地户口在成都念大学可以续签港澳通行证吗,如何办理
tr-247,我是成都市户口，可以在湖北省办理港澳通行证和护照吗？,如何办理
tr-248,非成都户口?成都就读大学生能否在成都办理港澳通行证,如何办理
tr-249,绵阳三台户口能在成都办理自助港澳签注吗？,如何办理
tr-250,已经在老家（甘肃）办好了港澳台通行证，但没有签注，可不可以在成都签注？？,如何办理
tr-251,外地户口在成都工作有1年的社保，可以办理港澳通行证吗,如何办理
tr-252,怎么办理港澳通行证的,如何办理
tr-253,港澳通行证到期，能否在网上办理，户口在高新区能否预约锦江区办理,如何办理
tr-254,外地签发的港澳通行证，目前户口在成都，如何办理加签注？,如何办理
tr-255,你好，我是在成都上学的大学生，户口是安徽的，能不能办理港澳通行证，因为离家较远，所以希望可以在成都办理。,如何办理
tr-256,您好，我于2013年在成都上大学时在成都办理了港澳通行证，现由于毕业户口已迁回老家湖南，请问如办理港澳通行证续签我，我需在成都还是老家办理呢？,如何办理
tr-257,你好，我想问一下。我现在在深圳，办理港澳通行证必须本人持身份证回重庆办吗？,如何办理
tr-258,请问，户籍所在地在自贡可以在成都办理港澳通行证吗？,如何办理
tr-259,孩子4岁需要办理护照，父母及孩子户籍都是山东，是否能在成都办理护照及港澳通行证？,如何办理
tr-260,外地户口可以在成都办理港澳通行证吗？,如何办理
tr-261,外地户口，可以在成都异地办理护照以及港澳通行证吗？,如何办理
tr-262,本人户籍所在地位四川省宜宾市，现在成都工作，没有居住证，只有身份证和护照可否异地办理港澳通行证,如何办理
tr-263,省内异地户口，已经办理港澳通行证，再次续签注，是在校大学生，怎么办理呢？最快多久能签到，时间紧迫,如何办理
tr-264,你好，我的户口在深圳，本人目前在成都，港澳通行证过期且丢失，可以在成都办理不？,如何办理
tr-265,身份证是都江堰市户籍，可以在成都市办理港澳通行证不？,如何办理
tr-266,你好，我是资阳市安岳县户籍，在成都连续交满两年社保，没有居住证，请问可以在成都办理港澳通行证的签注吗？,如何办理
tr-267,户口在绵阳，在成都读书，首次办理港澳通行证可不可以在成都办？,如何办理
tr-268,请问港澳通行证过期了，是否是按原来的办理手续来走流程?,如何办理
tr-269,你好，我在达州办理的港澳通行证，户口在成都，能否在成都办理香港自由行签注？,如何办理
tr-270,黑龙江户口，没有居住证可以在成都异地办理港澳通行证么,如何办理
tr-271,请问我需要到香港处理有应该怎么办港澳通行证,如何办理
tr-272,你好，请问异地户口持电子港澳通行证（有效期内）如何签注？（今年签注已过期）。在重庆工作，在重庆办的港澳通行证。,如何办理
tr-273,成都户口，但港澳通行证是青海西宁签发的。想换成成都签发的港澳通行证，都需要什么资料？,首次非首次提供办理资料
tr-274,港澳通行证需要带的资料,首次非首次提供办理资料
tr-275,需要哪些材料？,首次非首次提供办理资料
tr-276,在成都工作，需要办理港澳通行证，户口所在地为德阳，在成都办理需要提交哪些资料，在哪里进行办理，多久可以拿到？,首次非首次提供办理资料
tr-277,广安户口，成都就业，无社保，请问需要什么材料可以在成都办理港澳通行证和港澳签注？,首次非首次提供办理资料
tr-278,本人为成都市户口，现有港澳通行证（小本子式），在有效期内，咨询申请港澳通行证（小本子式）换为卡片式，需要哪些办理材料？,首次非首次提供办理资料
tr-279,您好，我是阿坝州的户口，在成都读大学，办理港澳通行证续签需要携带哪些材料啊？谢谢,首次非首次提供办理资料
tr-280,您好！我是成都在校大学生，户口在学校，想办理港澳通行证，到香港读书，请问需要带什么证件去办理？,首次非首次提供办理资料
tr-281,我老公是绵阳户口，没有办理居住证，但我是成都户口。请问他办理港澳通行证需要带哪些手续。,首次非首次提供办理资料
tr-282,我是河北人，，在四川读大学，办理港澳台通行证需要什么资料，户口簿没在身上在家那边可以办理吗？,首次非首次提供办理资料
tr-283,之前是绵阳户口，现在落户到龙泉驿更换港澳通行证需要带什么证件,首次非首次提供办理资料
tr-284,请问我已经持有在成都办理的港澳通行证，本省外市户口，但没有办理过签注，现在办理首次签注需要什么材料和流程是什么以及办理时间？,首次非首次提供办理资料
tr-285,外省户籍，成都市在校大学生，请问办理港澳续签需要哪些材料？,首次非首次提供办理资料
tr-286,本人目前在广州，无法回户口所在地成都办理澳门签注。已有港澳通行证，是否可以委托他人帮我办理澳门签注。如果可以，请问需要哪些材料？,首次非首次提供办理资料
tr-287,港澳通行证到期，重新申请需要提交哪些资料？,首次非首次提供办理资料
tr-288,已有港澳通行证，请问办理港澳签注需要哪些资料，在哪里办理，谢谢。,首次非首次提供办理资料
tr-289,对复印件可不可以,是否可以用其它证件
tr-290,港澳通行证即将于3月到期，现在想申请换领，请问是否需要携带原通行证？,首次非首次提供办理资料
tr-291,我港澳通行证的签注有效期为2017.6.9-2018.6.8，那我2018年6月8号到香港玩，逗留几天再走，这样行不行呀？,逗留有效期及频次
tr-292,港澳通行证可以在香港呆多久？,逗留有效期及频次
tr-293,你好。请问一下，港澳通行证首次申领后的第一年是不是不用办理签证可以往返港澳两次？,逗留有效期及频次
tr-294,港澳通行证可以在香港的多久,逗留有效期及频次
tr-295,恩好通行证可以在香港的多久,逗留有效期及频次
tr-296,高不用用可以在香港待多久啊,逗留有效期及频次
tr-297,香港可以去几次？,逗留有效期及频次
tr-298,逗留时间有限制么？,逗留有效期及频次
tr-299,行程是:国外-香港-澳门-内地，请问需要几次港澳签注？,逗留有效期及频次
tr-300,澳门可以去几次？,逗留有效期及频次
tr-301,最长可以呆多长时间？,逗留有效期及频次
tr-302,可以去几次？,逗留有效期及频次
tr-303,打通行证可以在香港带多少,逗留有效期及频次
tr-304,也可以在香港玩多久,逗留有效期及频次
tr-305,港澳通行证可以在香港待多久,逗留有效期及频次
tr-306,你好?w开头的港澳通行证?一年内能去几次澳门?中间再去澳门有无时间间隔的要求?谢谢,逗留有效期及频次
tr-307,办身份证需要多少钱啊,其他意图
tr-308,啊前面需要多少钱,其他意图
tr-309,没有东西似的,其他意图
tr-310,那你需要多少钱您,其他意图
tr-311,我在渝中区在哪里办理比较轻,办理地址
tr-312,如果可以，对办理地点有无限制？,办理地址
tr-313,请问遂宁办理的港澳通行证续签在成都哪里可以续签？我是本子的通行证。,办理地址
tr-314,我户口在山西，港澳通行证需要续签，请问在成都可以办理吗，需要什么材料，?到哪里去办理？谢谢！,办理地址
tr-315,我在渝北区在哪里把你比较新,办理地址
tr-316,成都市内出了顺城大街，还有哪里可以办护照，我的位置在机场附近，还有照片可不可以直接使用之前港澳通行证的照片？,其他意图
tr-317,可以到高新区出入境大厅办理吗？,办理地址
tr-318,你水区办理地址在哪里,办理地址
tr-319,重庆市户口办理港澳通行证新鲜可以在哪里自助办理,办理地址
tr-320,请问双流户口必须去双流分局办理港澳通行证吗？可以去高新区或者天府新区办不,办理地址
tr-321,重新户口办港澳通行证在哪里办,办理地址
tr-322,在哪儿办？谢谢！,办理地址
tr-323,我在渝北区在哪里办理的条件,办理地址
tr-324,港澳通行证快到期了，在高新区办证中心、出入境接待大厅（天府一期那个）可否办理？,办理地址
tr-325,一北区的办理地址在哪里,办理地址
tr-326,我在哪里办理短信,办理地址
tr-327,你好，请问高新区户口的港澳通行证办理地点是在哪里？户口是高新区荣华南路的。,办理地址
tr-328,恩好的为您办理地址在哪里呢,办理地址
tr-329,请问北碚办护照在哪里办，需要带什么证件，办理大约需要多少钱,其他意图
tr-330,没有了，谢谢,感谢语过渡语
tr-331,哦好的好的,感谢语过渡语
tr-332,我以前是雅安户口，在雅安办理了港澳通行证，现在签注已经过期了，户口也转到了成都，续签该在哪里办理呢？,办理地址
tr-333,恭喜！,感谢语过渡语
tr-334,好的吧,感谢语过渡语
tr-335,啊,感谢语过渡语
tr-336,没有了,感谢语过渡语
tr-337,我可以顺便给我小孩办理常鑫是吗,委托办理
tr-338,是否需要本人办理，可以他人代办吗？,委托办理
tr-339,成都户口?持上海签发的往来港澳通行证续签代办需要什么材料,委托办理
tr-340,可以代办吗,委托办理
tr-341,娃娃14岁，人在国外，第二次办港澳通行证，可不可以由父母代办？,委托办理
tr-342,我女儿的港澳通行证过期了，我能帮她代办吗？,委托办理
tr-343,老人在北京，想去港澳台旅行，可否代办签注,委托办理
tr-344,委托他人办理的流程是什么？,委托办理
tr-345,想问一下香港清楚可以代办吗谢谢了,委托办理
tr-346,持成都市市签发的有效港澳通行证再次申请个人旅游签注的，委托他人办理加签需要什么流程和手续？,委托办理
tr-347,本人在外地，户口在成都。申请港澳通行证续签，需要本人亲自办理吗？,委托办理
tr-348,你好，我是成都的户口，现在在外地上学。我的港澳通行证过期了能让家人代理去重办港澳通行证吗？,委托办理
tr-349,我可以委托我附近帮我办理吗,委托办理
tr-350,港澳台二次签注可否他人代办？,委托办理
tr-351,我本人出差在珠海，想在春节去澳门旅游，港澳通行证在成都，可以请人在成都帮办理澳门的签注么？,委托办理
tr-352,想问一下香港签注可以代办吗，谢谢了,委托办理
tr-353,我可以顺便给我小孩办理港澳通讯,委托办理
tr-354,请问本市户口港澳通行证过期了人在外地可以请人代办港澳通行证并办理签证么,委托办理
tr-355,可否寻求他人办理？,委托办理
tr-356,您好，人不在成都可以托人代办港澳通行证吗？,委托办理
tr-357,能不能快递过来。,领证方式咨询
tr-358,给地址寄过来可以吗？,领证方式咨询
tr-359,邮寄可以吗？,领证方式咨询
tr-360,回去干就是和你这个呢,其他意图
tr-361,取证件可以不带身份证吗？,领证方式咨询
tr-362,出入境微博越做越好了，加油,感谢语过渡语
tr-363,嗯哼,感谢语过渡语
tr-364,没关系,感谢语过渡语
tr-365,嗯，了解,感谢语过渡语
tr-366,好的好的好的,感谢语过渡语
tr-367,明白,感谢语过渡语
tr-368,你好，我的港澳通行证是在山西办理的，后来户口签到成都了，现在要办理港澳通行证签注，证件在有效期内，可以找人代办签注吗,委托办理
tr-369,港澳通行证过期了想换，可以请父母或朋友帮我代办吗？,委托办理
tr-370,我的港澳通行证签注时间过期了，我人在外地。看之前的留言说是可以请人持我的通行证重新签注，请问还需要我本人的身份证吗？,委托办理
tr-371,成都市户籍，成都办理的港澳通行证，人在外地，请他人代办续签可以吗？,委托办理
tr-372,我的港澳通行证没有过期，但是一年2次已经满了，要签注，人不在成都可否代办？,委托办理
tr-373,我可以顺便给我小孩这里港澳通行证吗,委托办理
tr-374,接着刚才的问题：我在外地，委托他人代办港澳签注，我除了需要将港澳通行证寄给代办人外，还需要户口本、身份证、或委托书之类的文件吗？,委托办理
tr-375,你好。我户籍在成都，因异地工作原因，港澳通行证已经办理了，现在首次签证需请朋友在成都代办，请问需要什么资料？,委托办理
tr-376,小孩，没有身份证，办理港澳通行证与护照的回执现已丢失，怎样能领取，谢谢,领证方式咨询
tr-377,你好，在成都成华区公安入境大厅，办理的护照和港澳通行证的回执单掉了怎么办？,领证方式咨询
tr-378,领取护照和港澳通行证以及台湾证的单子丢失了怎么办,领证方式咨询
tr-379,您好，我办理完港澳通行证把凭证弄丢了。本来以为是选的寄送服务现在发现不是。人不在成都。我现在怎么拿到证件呢?,领证方式咨询
tr-380,你好，我办理了港澳签证，现遗失了回执单，请问怎么取签证呢？谢谢！,领证方式咨询
tr-381,你好！请问我去年九月办的港澳通行证?现在找不到那些单子了?可以直接凭身份证取吗?谢谢,领证方式咨询
tr-382,办理港澳通行证是我选择了邮寄，但我现在又想自己去拿，可以吗？,领证方式咨询
tr-383,办理港澳和台湾通行的回执单掉了，凭身份证可以取吗,领证方式咨询
tr-384,我于6月1日在成都市金牛区出入境管理大队办理了护照及港澳台通行证！现在由于在外地工作！同时也过了在网上邮寄的时间了！请问：怎么才能领取这几个证件？,领证方式咨询
tr-385,你好，请问有办理护照及港澳通行证回执单及发票，不用带身份证可以领取吗，中午12点至1点可以领取吗,领证方式咨询
tr-386,请问一下，办理港澳通行证时候领证的回执单掉了怎么处理？,领证方式咨询
tr-387,领证有几种方式？,领证方式咨询
tr-388,护照和港澳通行证选择的是EMS邮寄，办理完成后是不是不需要拿身份证和回执单去出入境部门领取，证件直接邮寄到填写的地址,领证方式咨询
tr-389,已经在成都出入境办理了港澳通行证，去取的时候需要带什么文件和证件吗,领证方式咨询
tr-390,请问请问回执单找不见了怎么办,领证方式咨询
tr-391,我办理了我和我老公，以及儿子（2岁）的港澳通行证，进度查询了可以取证，请问去取证的时候只需要带回执还是回执和身份证都要带？,领证方式咨询
tr-392,你好，我的港澳通行证签注出来了，但是我的回执单掉了，请问要怎么样才能拿到我的通行证呢？,领证方式咨询
tr-393,你好，我的回执单弄丢了，可以拿身份证去拿吗？,领证方式咨询
tr-394,办港澳通行证的回执单掉了，可以用身份证来领取吗？,领证方式咨询
tr-395,港澳通行证续签时间,其他意图
tr-396,外地户口嫁到重庆来可以在重庆办吗,如何办理
tr-397,请问持有成都暂住证可以办理港澳通行证与出国护照吗,是否可以用其它证件
